The Rental Home Co,
Profit and Loss,
All Dates,

,Total
Income,
500 Rental Income,"22,420.88"
500.01 Rental Income,"1,031,097.36"
500.03 Other Rental Income,"2,087.00"
500.04 Utility Income,666.58
Total for 500 Rental Income,"$1,056,271.82"
510 Sale of Property Income,"2,993,495.00"
515 Commission Income,"75,437.42"
Uncategorized Income,"19,207.76"
Total for Income,"$4,144,412.00"
Cost of Goods Sold,
600 Cost of Goods Sold,924.72
670 Sale of Property Costs,
670.01 Broker Commission,"168,922.20"
670.02 Closing Costs,"104,157.50"
670.03 HOA Fees,-25.00
670.05 Property Taxes,357.45
Property Basis,"2,510,988.64"
Total for 670 Sale of Property Costs,"$2,784,400.79"
Total for Cost of Goods Sold,"$2,785,325.51"
Gross Profit,"$1,359,086.49"
Expenses,
700 Buy & Hold Expenses,
700.01 HOA,"4,273.55"
700.1 Utilities,"13,713.25"
Repairs & Maintenance,"7,036.12"
700.02 General,"5,722.21"
700.03 Cleaning,"3,275.99"
700.04 Contractor,"88,166.33"
700.05 Inspections,735.00
700.06 Landscaping,"3,482.00"
700.08 Materials,"50,112.03"
700.09 Pest Control,361.00
Total for Repairs & Maintenance,"$158,890.68"
Total for 700 Buy & Hold Expenses,"$176,877.48"
710 General Expenses,197.56
710.01 Bank Charges & Fees,"2,262.06"
710.02 Business Meals,"2,745.91"
710.03 Dues & Subscriptions,"11,540.31"
710.04 Office Supplies & Postage,907.13
710.05 Marketing,27.09
710.06 Other Business Expenses,"2,513.09"
710.07 Licenses & Registration Fees,884.04
710.08 Rent & Lease,733.40
710.09 Admin Contractor,285.00
710.11 Business Utilities,"7,095.37"
710.12 Continuing Education,"6,767.83"
Total for 710 General Expenses,"$35,958.79"
720 Insurance,"84,278.01"
730 Interest Paid,"232,927.38"
740 Legal & Professional Fees,"11,374.33"
740.01 Accountant,315.00
740.02 Legal,"2,600.00"
740.03 Property Manager,"3,400.00"
Total for 740 Legal & Professional Fees,"$17,689.33"
750 Charity,"3,385.64"
765 Payroll Expense,142.50
765.01 Payroll Net,$0.00
765.02 Payroll Tax,"4,993.87"
765.03 Payroll Fee,757.05
Officer Salaries,"63,784.14"
Total for 765 Payroll Expense,"$69,677.56"
770 Taxes Paid,"172,504.92"
780 Travel,"4,351.22"
785 Mileage,"20,163.67"
Total for Expenses,"$817,814.00"
Net Operating Income,"$541,272.49"
Other Income,
520 Interest Income,810.66
Total for Other Income,$810.66
Other Expenses,
800.02 Amortization Expense ( 230 ),900.14
900.02 Depreciation Expense,"155,311.04"
Total for Other Expenses,"$156,211.18"
Net Other Income,"-$155,400.52"
Net Income,"$385,871.97"



"Cash Basis Wednesday, July 01, 2026 06:13 PM GMTZ",
