The Rental Home Co,,,,,,,,,,
Account QuickReport,,,,,,,,,,
All Dates,,,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Description,Full name,Cleared,Amount,Balance
Uncategorized Income,,,,,,,,,,
,Uncategorized Income,09/12/2023,Credit Card Credit,,Capital One,CREDIT-CASH BACK REWARD,Uncategorized Income,,581.87,581.87
,Uncategorized Income,10/16/2023,Deposit,,TrimJoist,TJ Consulting,Uncategorized Income,,"8,000.00","8,581.87"
,Uncategorized Income,10/30/2023,Deposit,,TrimJoist,Consulting work with Stephen,Uncategorized Income,,"8,000.00","16,581.87"
,Uncategorized Income,11/06/2023,Credit Card Credit,,Capital One,CREDIT-CASH BACK REWARD,Uncategorized Income,,289.14,"16,871.01"
,Uncategorized Income,04/01/2024,Credit Card Credit,,,CREDIT-CASH BACK REWARD,Uncategorized Income,,"1,256.53","18,127.54"
,Uncategorized Income,05/06/2024,Credit Card Credit,,Capital One,CREDIT-CASH BACK REWARD,Uncategorized Income,,171.20,"18,298.74"
,Uncategorized Income,07/08/2024,Credit Card Credit,,Capital One,CREDIT-CASH BACK REWARD,Uncategorized Income,,345.61,"18,644.35"
,Uncategorized Income,10/02/2024,Credit Card Credit,,Capital One,CREDIT-CASH BACK REWARD,Uncategorized Income,,503.42,"19,147.77"
,Uncategorized Income,10/31/2024,Deposit,,Randy Shivley,Refund Check from M Help Desk,Uncategorized Income,,59.99,"19,207.76"
Total for Uncategorized Income,,,,,,,,,"$19,207.76",
TOTAL,,,,,,,,,"$19,207.76",



" Wednesday, July 01, 2026 06:17 PM GMTZ",,,,,,,,,,
