The Rental Home Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1-December 31, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Ford Expedition Max White,Operating,Personal,Rental Home Co,4608 Woodsong Ln,Church Street Duplexes,Total for Rental Home Co,Second Mile,100 Crown Colony Ct,101 Century Hill Ct.,104 Penny Lane,105 Peach Blossom Ct.,115 Elm Street,120 Argus Circle,133 Armanda,139 E Chateu,191 Konika Court,216 Stirlington Rd,233 Lecia Lane,300 Elders Pond Circle,359 Quiet Grove Drive,511 Kyzer Rd,511 Plum Tree Ct,522 Long Terrace,661 Spanish Oak Dr.,7360 Two Notch Rd,946 Brookfield Drive,Total for Second Mile,Trading,Not specified,Total
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Rental Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500.01 Rental Income,,,,,"17,923.00","71,415.00","89,338.00",,"19,796.00","20,160.00","21,570.00",,"21,300.00","17,735.00",,,"15,500.00","13,355.00",,"18,675.00","21,667.28",,"17,795.00",62.60,,,"18,336.00","205,951.88",,,"295,289.88"
Total for 500 Rental Income,$0.00,$0.00,$0.00,$0.00,"17,923.00","71,415.00","89,338.00",$0.00,"19,796.00","20,160.00","21,570.00",$0.00,"21,300.00","17,735.00",$0.00,$0.00,"15,500.00","13,355.00",$0.00,"18,675.00","21,667.28",$0.00,"17,795.00",62.60,$0.00,$0.00,"18,336.00","205,951.88",$0.00,$0.00,"$295,289.88"
510 Sale of Property Income,,,,,,,,,,,,"245,000.00",,,,,,,,,,"225,000.00",,,"240,000.00","275,000.00",,"985,000.00",,,"985,000.00"
515 Commission Income,,,,,,,,,,,,"5,750.00",,,,,,,,,,"5,270.00",,"5,330.00","5,630.00","6,470.00",,"28,450.00",,,"28,450.00"
Total for Income,$0.00,$0.00,$0.00,$0.00,"17,923.00","71,415.00","89,338.00",$0.00,"19,796.00","20,160.00","21,570.00","250,750.00","21,300.00","17,735.00",$0.00,$0.00,"15,500.00","13,355.00",$0.00,"18,675.00","21,667.28","230,270.00","17,795.00","5,392.60","245,630.00","281,470.00","18,336.00","1,219,401.88",$0.00,$0.00,"$1,308,739.88"
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670 Sale of Property Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670.01 Broker Commission,,,,,,,,,,,,"13,475.00",,,,,,,,,,"6,750.00",,,"14,200.00","15,125.00",,"49,550.00",,,"49,550.00"
670.02 Closing Costs,,,,,,,,,,,,"2,014.94",,,"2,663.75","2,595.75",,,"1,978.15",,,"15,334.24",,,,"6,712.59",,"31,299.42",,,"31,299.42"
670.03 HOA Fees,,,,,,,,,,,,,,,,,,,,,-25.00,,,,,,,-25.00,,,-25.00
