The Rental Home Co,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,,,,,,,,,,,
"January 1-June 30, 2026",,,,,,,,,,,,,,,,,,,,,,

,Ford Expedition Max White,Operating,Personal,Rental Home Co,4608 Woodsong Ln,Church Street Duplexes,Total for Rental Home Co,Second Mile,100 Crown Colony Ct,101 Century Hill Ct.,104 Penny Lane,115 Elm Street,120 Argus Circle,139 E Chateu,191 Konika Court,216 Stirlington Rd,300 Elders Pond Circle,359 Quiet Grove Drive,511 Plum Tree Ct,946 Brookfield Drive,Total for Second Mile,Total
Income,,,,,,,,,,,,,,,,,,,,,,
500 Rental Income,,,,,,,,,,,,,,,,,,,,,,
500.01 Rental Income,,,,,"4,675.00","15,330.00","20,005.00",,"3,830.00","4,085.00","5,325.00","5,702.00","4,435.00",,"4,275.00","5,215.00","4,725.00","5,737.22","4,725.00","4,800.00","52,854.22","72,859.22"
Total for 500 Rental Income,$0.00,$0.00,$0.00,$0.00,"4,675.00","15,330.00","20,005.00",$0.00,"3,830.00","4,085.00","5,325.00","5,702.00","4,435.00",$0.00,"4,275.00","5,215.00","4,725.00","5,737.22","4,725.00","4,800.00","52,854.22","$72,859.22"
510 Sale of Property Income,,,,,,,,,,,,,,"260,000.00",,,,,,,"260,000.00","260,000.00"
Total for Income,$0.00,$0.00,$0.00,$0.00,"4,675.00","15,330.00","20,005.00",$0.00,"3,830.00","4,085.00","5,325.00","5,702.00","4,435.00","260,000.00","4,275.00","5,215.00","4,725.00","5,737.22","4,725.00","4,800.00","312,854.22","$332,859.22"
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,
670 Sale of Property Costs,,,,,,,,,,,,,,,,,,,,,,
670.01 Broker Commission,,,,,,,,,,,,,,"15,600.00",,,,,,,"15,600.00","15,600.00"
670.02 Closing Costs,,,,,,,,,,,,,,"9,762.00",,,,,,,"9,762.00","9,762.00"
670.05 Property Taxes,,,,,,,,,,,,,,357.45,,,,,,,357.45,357.45
Property Basis,,,,,,,,,,,,,,"197,528.39",,,,,,,"197,528.39","197,528.39"
Total for 670 Sale of Property Costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"223,247.84",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"223,247.84","$223,247.84"
Total for Cost of Goods Sold,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"223,247.84",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"223,247.84","$223,247.84"
Gross Profit,$0.00,$0.00,$0.00,$0.00,"4,675.00","15,330.00","20,005.00",$0.00,"3,830.00","4,085.00","5,325.00","5,702.00","4,435.00","36,752.16","4,275.00","5,215.00","4,725.00","5,737.22","4,725.00","4,800.00","89,606.38","$109,611.38"
Expenses,,,,,,,,,,,,,,,,,,,,,,
