The Rental Home Co,
Profit and Loss,
"January 1-June 30, 2026",

,Total
Income,
500 Rental Income,
500.01 Rental Income,"72,859.22"
Total for 500 Rental Income,"$72,859.22"
510 Sale of Property Income,"260,000.00"
Total for Income,"$332,859.22"
Cost of Goods Sold,
670 Sale of Property Costs,
670.01 Broker Commission,"15,600.00"
670.02 Closing Costs,"9,762.00"
670.05 Property Taxes,357.45
Property Basis,"197,528.39"
Total for 670 Sale of Property Costs,"$223,247.84"
Total for Cost of Goods Sold,"$223,247.84"
Gross Profit,"$109,611.38"
Expenses,
700 Buy & Hold Expenses,
700.01 HOA,583.33
700.1 Utilities,"1,034.50"
Repairs & Maintenance,
700.04 Contractor,"9,207.30"
700.08 Materials,669.91
Total for Repairs & Maintenance,"$9,877.21"
Total for 700 Buy & Hold Expenses,"$11,495.04"
710 General Expenses,
710.01 Bank Charges & Fees,791.46
710.02 Business Meals,106.18
710.03 Dues & Subscriptions,626.10
710.04 Office Supplies & Postage,24.59
710.07 Licenses & Registration Fees,102.60
710.11 Business Utilities,438.84
710.12 Continuing Education,328.90
Total for 710 General Expenses,"$2,418.67"
720 Insurance,421.89
730 Interest Paid,"10,353.79"
740 Legal & Professional Fees,28.45
750 Charity,85.34
765 Payroll Expense,
765.03 Payroll Fee,147.70
Officer Salaries,"4,617.51"
Total for 765 Payroll Expense,"$4,765.21"
770 Taxes Paid,"34,445.22"
780 Travel,274.45
785 Mileage,"1,005.34"
Total for Expenses,"$65,293.40"
Net Operating Income,"$44,317.98"
Other Income,
520 Interest Income,810.66
Total for Other Income,$810.66
Net Other Income,$810.66
Net Income,"$45,128.64"



"Cash Basis Tuesday, June 30, 2026 04:48 PM GMTZ",
