The Rental Home Co,
Profit and Loss,
"January 1-December 31, 2025",

,Total
Income,
500 Rental Income,
500.01 Rental Income,"295,289.88"
Total for 500 Rental Income,"$295,289.88"
510 Sale of Property Income,"985,000.00"
515 Commission Income,"28,450.00"
Total for Income,"$1,308,739.88"
Cost of Goods Sold,
670 Sale of Property Costs,
670.01 Broker Commission,"49,550.00"
670.02 Closing Costs,"31,299.42"
670.03 HOA Fees,-25.00
Property Basis,"878,059.64"
Total for 670 Sale of Property Costs,"$958,884.06"
Total for Cost of Goods Sold,"$958,884.06"
Gross Profit,"$349,855.82"
Expenses,
700 Buy & Hold Expenses,
700.01 HOA,238.31
700.1 Utilities,"2,498.97"
Repairs & Maintenance,
700.02 General,"2,216.28"
700.03 Cleaning,275.00
700.04 Contractor,"18,232.29"
700.05 Inspections,45.00
700.08 Materials,"10,656.29"
Total for Repairs & Maintenance,"$31,424.86"
Total for 700 Buy & Hold Expenses,"$34,162.14"
710 General Expenses,
710.01 Bank Charges & Fees,120.00
710.02 Business Meals,136.88
710.03 Dues & Subscriptions,"3,555.03"
710.04 Office Supplies & Postage,595.34
710.05 Marketing,2.09
710.06 Other Business Expenses,5.18
710.07 Licenses & Registration Fees,177.50
710.11 Business Utilities,"2,603.69"
710.12 Continuing Education,"3,247.76"
Total for 710 General Expenses,"$10,443.47"
720 Insurance,"19,110.19"
730 Interest Paid,"70,234.99"
740 Legal & Professional Fees,"1,054.88"
740.01 Accountant,315.00
Total for 740 Legal & Professional Fees,"$1,369.88"
750 Charity,"1,000.00"
765 Payroll Expense,
765.02 Payroll Tax,"1,604.62"
765.03 Payroll Fee,609.35
Officer Salaries,"20,000.04"
Total for 765 Payroll Expense,"$22,214.01"
770 Taxes Paid,"49,162.95"
780 Travel,411.66
785 Mileage,"5,585.41"
Total for Expenses,"$213,694.70"
Net Operating Income,"$136,161.12"
Other Expenses,
800.02 Amortization Expense ( 230 ),450.07
900.02 Depreciation Expense,"31,750.00"
Total for Other Expenses,"$32,200.07"
Net Other Income,"-$32,200.07"
Net Income,"$103,961.05"



"Cash Basis Tuesday, June 30, 2026 04:47 PM GMTZ",
